appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories,positive_ratio,ratings,owners_average,MutualPlayerCount
2620,Call of Duty (2003),Infinity Ward,Activision,,5689,313,"500,000 .. 1,000,000",433,0,366,0,62,Action,USD,19.99,"Single-player, Multi-player, Family Sharing",0.9478507164278573,0.8074421381048983,750000.0,49
3920,Sid Meier's Pirates!,Firaxis Games,2K,,5935,351,"200,000 .. 500,000",532,1,406,1,146,RPG,USD,9.99,"Single-player, Family Sharing",0.9441616290168628,0.8079095625960889,350000.0,25
4000,Garry's Mod,Facepunch Studios,Valve,,1023411,34419,"20,000,000 .. 50,000,000",10517,211,1291,54,25954,"Casual, Indie, Simulation",USD,9.99,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK, Remote Play on Tablet, Family Sharing",0.9674626357732339,0.9623585660285127,35000000.0,1849
3480,Peggle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,7593,219,"200,000 .. 500,000",290,244,186,454,257,Casual,USD,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.9719662058371735,0.8193302146693772,350000.0,39
7400,Ricochet: Lost Worlds,Reflexive Entertainment,Reflexive Entertainment,,0,0,"0 .. 20,000",0,0,0,0,1,Casual,,0.0,"Single-player, Family Sharing",,0.7787901224971441,10000.0,0
8000,Tomb Raider: Anniversary,Crystal Dynamics,Crystal Dynamics,,5007,1062,"500,000 .. 1,000,000",223,0,104,0,76,"Action, Adventure",USD,0.98,"Single-player, Full controller support, Family Sharing",0.8250123578843302,0.7866962538765638,750000.0,50
9500,Gish,"Cryptic Sea, Edmund McMillen",Chronic Logic,,263,186,"200,000 .. 500,000",62,0,79,0,1,"Action, Adventure, Indie",USD,9.99,"Single-player, Multi-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing",0.5857461024498887,0.7758875130893995,350000.0,4
2280,DOOM (1993),id Software,id Software,,16746,530,"1,000,000 .. 2,000,000",137,2,80,2,79,Action,USD,4.99,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",0.9693216022227368,0.8492916344496324,1500000.0,59
2290,Final DOOM,id Software,id Software,,1067,179,"500,000 .. 1,000,000",23,0,7,0,3,Action,,0.0,"Single-player, Steam Cloud, Family Sharing",0.8563402889245586,0.7819418412957027,750000.0,12
2310,Quake,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,,12749,465,"1,000,000 .. 2,000,000",256,0,47,0,112,Action,USD,9.99,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",0.9648100499470259,0.836455131442361,1500000.0,56
